District,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C24,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30
LAKESIDE JT SCHOOL DISTRICT,2521,28,8,0,1,0,0,0,20,0,0,0,0,0,356,156,1,0,3,0,0,0,0,0,0,150,0,0,46,0,2137,0,1508,0,0,0,512,0,0,0,8,1,0,0,0,6,28,0,13,0
LOMA PRIETA JT ELEM SCH DIST,15056,201,21,90,5,0,0,0,89,1,0,0,0,0,1266,329,4,0,33,0,0,0,2,0,0,691,0,0,207,0,13589,0,4717,0,0,0,594,466,146,0,38,3,0,0,0,194,7,0,92,0
LOS ALTOS ELEM SCH DIST,89442,1120,97,911,60,0,0,102,10,0,0,0,0,0,10268,1805,29,0,313,0,0,0,0,0,0,6215,0,0,1906,0,78054,0,57874,0,0,0,10275,0,0,0,0,0,0,0,0,0,1516,0,396,0
LOS GATOS UNION SCHOOL DIST,52103,843,0,586,39,0,0,32,172,53,0,0,0,0,6912,851,12,0,151,0,0,0,2,0,0,4653,0,0,1243,0,44348,0,35002,0,0,0,2716,116,2967,0,0,498,0,0,0,0,206,0,334,0
LOS GATOS-SARATOGA UNION HIGH SCHOOL DIST,73454,890,55,792,60,0,33,0,10,0,0,0,0,0,7728,1024,19,0,250,0,0,0,0,0,0,4804,0,0,1631,0,64836,0,55790,0,0,0,952,1710,2347,0,0,661,0,0,0,5,718,0,1008,0
LUTHER BURBANK ELEM SCH,9071,722,80,85,13,0,0,40,25,492,0,0,0,0,5359,3816,2,0,36,0,0,0,33,0,0,1284,0,0,188,0,2990,0,2200,0,0,0,0,14,458,0,0,0,0,0,0,0,0,0,63,0
MILPITAS UNIFIED SCH DIST,158127,6125,732,2206,179,0,48,371,1010,1758,0,0,0,0,48578,24285,48,0,911,0,0,0,163,0,0,19626,0,0,3545,0,103424,0,59299,0,0,0,1543,4045,28364,64,0,1446,0,0,0,275,1574,0,1211,0
MORELAND SCHOOL DISTRICT,74132,2543,450,1010,79,0,0,186,23,874,0,0,0,0,20046,14104,32,0,342,0,0,0,64,0,0,3758,0,0,1746,0,51543,0,37633,0,0,0,1579,0,0,0,85,595,0,0,0,2869,6829,0,602,0
MOUNTAIN VIEW WHISMAN SCHOOL DISTRICT,101290,3472,513,1143,135,0,0,208,227,1240,0,136,0,5,14171,4928,41,0,371,0,0,0,91,0,0,6495,0,0,2245,0,83647,0,63324,0,0,0,2927,0,27,0,7,647,0,0,0,0,5263,0,1741,0
MT VW-LOS ALTOS UNI HIGH SCHOOL DIST,136206,1609,267,787,51,0,79,32,206,238,0,0,0,0,19825,4131,23,0,311,0,0,0,18,0,0,12488,0,0,2854,0,114772,0,96529,0,0,0,0,3462,6805,676,0,494,0,0,124,251,248,0,2496,0
MOUNT PLEASANT ELEM SCH DIST,61525,6832,485,5043,68,0,0,125,90,1089,0,0,0,0,42444,15064,16,16394,162,0,0,0,76,0,0,9815,0,0,917,0,12249,0,10355,0,0,0,481,0,0,0,0,98,0,0,0,0,158,0,148,0
OAK GROVE ELEM SCH DIST,145079,6591,1317,2027,254,0,0,290,406,2551,0,0,0,0,71570,52336,57,0,735,0,0,0,163,0,0,14875,0,0,3404,0,66918,0,48603,0,0,0,1756,620,6425,0,0,1118,0,0,0,2702,2521,0,1057,0
ORCHARD ELEMENTARY SCH DIST,19114,661,86,178,36,0,0,53,132,212,0,0,0,0,2234,801,4,0,59,0,0,0,16,0,0,1048,0,0,306,0,16219,0,9618,0,0,0,0,45,5612,0,0,96,0,0,0,47,173,0,348,0
PALO ALTO UNIFIED SCHOOL D,316576,5730,632,2839,173,0,47,244,1419,549,0,0,0,0,46952,8925,106,0,951,0,0,0,47,0,0,28941,0,0,7982,0,263894,0,218765,0,0,0,15210,399,0,752,94,2372,0,0,0,0,10464,0,3081,0
SAN JOSE UNIFIED SCH DIST,469489,21617,5343,6547,1047,0,0,809,2404,6507,0,0,0,7,124637,72807,177,0,2102,0,0,0,456,0,0,39307,0,0,9788,0,323235,0,273140,0,0,0,4858,0,19647,0,57,2480,0,0,0,897,7771,0,3588,0
SANTA CLARA UNIF SCH DIST,386857,10474,1681,3204,385,0,83,828,1293,3385,0,0,0,0,59874,13679,107,0,1090,0,0,0,247,0,0,36149,0,0,8602,0,316509,0,219756,0,0,0,0,0,60041,1051,0,2739,0,0,0,44,6060,0,7705,0
SARATOGA UNION ELEM SCH DIST,41900,433,42,336,27,0,0,16,0,39,0,0,0,0,4921,789,13,0,132,0,0,0,1,0,0,3009,0,0,977,0,36546,0,33982,0,0,0,477,3,0,0,0,381,0,0,0,0,54,0,288,0
SUNNYVALE SCHOOL DISTRICT,120645,4044,685,1333,134,0,0,222,293,1511,0,0,0,0,20172,4465,45,0,474,0,0,0,101,0,0,12177,0,0,2910,0,96429,0,83159,0,0,0,1083,0,2956,0,0,722,0,0,0,0,5142,0,828,0
UNION ELEM SCH DIST,82295,1905,136,1153,70,0,0,89,238,289,0,0,0,0,23885,13608,21,0,422,0,0,0,19,0,0,7781,0,0,2034,0,56505,0,45253,0,0,0,1272,257,0,0,0,695,0,0,0,0,6702,0,772,0
METROPOLITAN EDUCATION JPA,22458,276,0,0,0,0,0,0,276,0,0,0,0,0,5401,0,0,0,0,0,0,0,0,0,0,5401,0,0,0,0,16781,0,0,0,0,0,0,11276,3031,0,0,37,0,0,0,0,597,0,327,0
EAST VALLEY SCHOOL TRANSPORTATION JPA,2644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2644,0,0,0,0,0,0,2627,0,0,0,0,0,0,0,0,0,0,17,0
